Предприятия;1 декада апреля;2 декада апреля;3 декада апреля;1 декада мая;2 декада мая;3 декада мая;1 декада июня;2 декада июня;3 декада июня;1 декада июля;2 декада июля;3 декада июля;1 декада августа;3 декада августа;1 декада сентября;2 декада сентября;3 декада сентября;1 декада октября;2 декада октября;3 декада октября;1 декада ноября;2 декада ноября;3 декада ноября;1 декада декабря;2 декада декабря;3 декада декабря;1 декада января
Завод № 05;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод № 1;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0,1;0,2;0,1;0,1;0,25;0,25;0,25;0,2;0,1;0,15;0;0,1;0,1
Завод № 4;0,1;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,5;1;1;0,5;0,7;0,7;1;0,7;0,7;1;1;1,1;1;0,9;0,8;0;0,5;0,7
Завод № 5;0,2;0,3;0,2;0,3;0,2;0,4;0,5;0,5;0,5;0,5;0,75;0,75;0,5;0,5;0,5;0,75;0,5;0,6;1;1;1,2;1,2;1,1;1;0;0,7;0,8
Завод № 6;0,5;0,2;0,3;0,4;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,2;0,2;2;2;0;2,4;1,4;1,5;1,5;1,2;1,1;0;0,7;0,7
Завод № 77;0,2;0,4;0,5;0,7;0,5;0,5;0,5;0,5;0,5;0,5;0,75;0,8;0,5;0,4;0,45;0,8;0,6;0,8;1;1;1,2;1,1;1;1;0;0,7;0,8
Завод № 552;0,3;0,55;0,5;0,7;0,5;0,8;1;1;1;1;1;1;0,5;0,5;0,5;0,8;0,6;0,7;1,6;1,6;1,8;1,6;1,5;1,4;0;1;1
Химико­технический институт, мастерские;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0;0,1;0,1;0,07;0;0;0;0;0;0;0;0;0;0;0
ЦКБ 22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0;0,07;0,1
Военно­ механический институт;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0,1;0,1;0,05;0,05;0,2;0,2;0,2;0,15;0,15;0,1;0;0;0,05
Главснабсбыт;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод № 7;0,1;0,2;0,4;0,5;0,4;0,4;1;1;0,75;0,75;0,7;0,7;0,5;0,5;0,5;1;0,6;0,6;1,2;1,2;1,3;1,2;1,2;1;0;0,7;0,9
Завод № 232 («Большевик»);0,3;0,25;0,5;0,8;0,7;0,7;0,75;0,8;1;1;2;2;1,2;1;1;1,5;1;1;3;3;3;2,75;2,75;2,7;0;2;2
Завод № 349 им. ОГПУ;0;0;0;0;0;0,2;0,2;0,2;0,15;0,15;0,4;0,4;0,2;0,15;0,15;0,4;0,2;0,2;0,7;0,7;0,7;0,6;0,6;0,5;0;0,3;0,3
Завод № 371;0,1;1,5;1,2;0,8;0,6;0,6;0,65;0,7;0,75;0,75;1,5;1,5;1;1;1;2;2,2;1,2;1,4;1,3;2;2;2,5;2,2;0;1,4;1,75
Мастерские техникума точной механики;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0,05;0,05;0,05;0,05;0;0;0;0;0;0;0
НИИ 13;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0,05
1 я стац. Авиамастерская;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0
Авиарембаза № 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
Авиарембаза № 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
Завод № 23;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод № 162;0;0;0,05;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,1;0,1;0,1;0,1;0,07;0,07;0,075;0,075;0;0;0,05;0,05;0;0,05;0,05
Завод № 218;0,1;0,2;0,2;0,2;0,15;0,15;0,15;0,2;0,1;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод № 224;0,1;0,2;0,2;0,25;0,2;0,2;0,1;0,1;0,1;0,1;0,05;0,15;0,1;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,075;0,075;0,07;0;0,05;0,07
