1 decade april;2 decade april;3 decade april;1 decade may;2 decade may;3 decade may;1 decade june;2 decade june;3 decade june;1 decade july;2 decade july;3 decade july;1 decade august;3 decade august;1 decade september;2 decade september;3 decade september;1 decade october;2 decade october;3 decade october;1 decade november;2 decade november;3 decade november;1 decade december;2 decade december;3 decade december;1 decade january
0;0;0;0;0;0;0;0;0;0;0,5;0;0;0,3;0,3;0,3;0,3;0,3;0,35;0,35;0,35;0,35;0,2;0,35;0,3;0,25;0,3
0,7;0,8;1;1,5;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0,7;0,9
3;4;4,5;3;9;9;9;9;8,5;8,5;8,5;8,5;5;5;4;4;4;4;4,8;4,8;4,8;4,75;4,75;4,5;4,3;3;4
0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,7;1;1;1;0,5;1;1;1;0;1;1,2;1,2;1,2;1,2;1,2;1;1;0,7;0,8
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,15
3;3;3;3;4;4;4;4;4;5;5;5;3;3,3;3;3;3,2;3,2;3,8;3,8;3,6;3,6;3,6;3,5;3,5;3;3,5
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0,05;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
0,1;0,1;0,1;0,1;0,1;0,15;0,2;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
0;0,075;0,1;0,01;0,05;1;1;1;0,15;0,15;0,05;0,05;0;0,05;0,05;0,05;0;0;0,08;0;0,075;0,05;0,05;0;0;0;0,1
0;0;0;0;0;0;0;0;0,1;0,1;0,1;0;0;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0,25;0,2;0,15;0,15;0,15;0,15;0,15;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,2;0,25
0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0,15;0,15;0,15;0,15;0,15;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,15;0,2
0;0;0;0;0;0;0;0;0,7;0,7;0,7;0,7;0,4;0,3;0,3;0,25;0,25;0,25;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,15;1
0;0;0;0;0;0;0;0;0,1;0,1;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0,3;0,3;0,3;0,3;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,07
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05
0,1;0,1;0,2;0,3;0,3;0,2;0,3;0,3;0,3;0,3;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;2;3;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,15;2,1;2,1;2,05;2,05;2,05;2,4;2,4;2,4;5;3,5;2,7;0;1,4;1,8
0;0,075;0,2;0,2;0,2;0,3;0,2;0,2;0,15;0,15;0,15;0,15;0;0;0;0;0;0;0,075;0,5;0,5;0,45;0,15;0,15;0;0,15;0,15
0;0,2;0,3;0,25;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,15;0,15;0,15;0,15;0,15;0,2;0,2;0,2;0,15;0,15;0,15;0;0,1;0,1
0,3;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,25
0;0;0;0;0;0;0;0;0,15;0,15;0,15;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,1;0,1;0,1;0,15;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,15;0,15;0,15;0,1;0;0,1;0,1
0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,1;0,1;0,1;0,1;1;1;1;1,2;1,2;1,2;1;0,5;0,5;0;0,7;0,9
0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,1;0,1;0,1;0,1;0,4;0,4;0,4;0,5;0,5;0,5;0,2;0,2;0,2;0;0,35;0,4
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,05;0,05;0;0,04;0,05
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,15;0,1;0,75;0,7;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07;0,05;0,05;0,1;0,1;0,1;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0,15;0,15;0,15;0,2;0,1;0,1;0,1;0,2;0,2;0,25;0,35;0,35;0,45;0,4;0,3;0,35;0;0,25;0,3
